month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_feet,median_square_feet,average_listing_price,total_listing_count,pending_ratio
202006,77523,"baytown, tx",317549.5,114,50,48,12,76,106,128.1892666,2554,355310,220,0.9298
202006,77339,"kingwood, tx",257073,143,58,68,4,52,131,106.0096693,2527.5,354004,274,0.9161
202006,77016,"houston, tx",162500,46,44.5,28,0,12,26,116.8503863,1422,164968,72,0.5652
202006,77082,"houston, tx",395050,150,82,36,0,36,45,133.9808362,3054.5,592694,195,0.3
202006,77022,"houston, tx",291550,90,58.5,8,0,16,39,186.4862821,1541,290125,129,0.4333
202006,77963,"goliad, tx",399944.5,17,81.5,0,0,4,6,186.4925223,2146.5,614914,23,0.3529
202006,77032,"houston, tx",99050,16,74,4,0,4,2,58.79059351,1622,120116,18,0.125
202006,77386,"spring, tx",355050,262,37,148,12,88,255,130.5242951,2881.5,455416,517,0.9733
202006,77048,"houston, tx",196790,43,18,48,12,4,45,120.8418689,1623,218567,88,1.0465
202006,77007,"houston, tx",499950,438,48,192,0,116,157,210.4573726,2438,667553,595,0.3584
202006,77301,"conroe, tx",240077.5,78,53,24,4,16,60,115.4975323,2034,256093,138,0.7692
202006,77706,"beaumont, tx",284950,213,41.5,92,0,32,20,107.1155318,2690,391995,233,0.0939
202006,77701,"beaumont, tx",136500,15,120.5,4,0,0,2,56.60724325,2392.5,160855,17,0.1333
202006,77004,"houston, tx",384050,214,64,84,4,36,71,192.4771386,2126,440429,285,0.3318
202006,77320,"huntsville, tx",180750,75,91,20,4,16,37,129.2106667,1568,238721,112,0.4933
202006,77833,"brenham, tx",279050,80,94.5,20,0,20,58,137.6403095,2084,375427,138,0.725
202006,77030,"houston, tx",517549.5,92,61,32,0,24,25,216.3336255,1849,634738,117,0.2717
202006,77328,"cleveland, tx",189950,23,93.5,8,0,8,17,111.8819444,1876,209876,40,0.7391
202006,77584,"pearland, tx",312550,236,50,124,16,112,188,116.55307,2662.5,332693,424,0.7966
202006,77318,"willis, tx",299500,152,75,44,24,48,86,132.1397284,2314,373204,238,0.5658
202006,77707,"beaumont, tx",149950,100,40.5,36,0,24,12,94.42765265,1730,199885,112,0.12
202006,77035,"houston, tx",280050,133,58.5,60,0,56,52,145.4283037,1883.5,267970,185,0.391
202006,77498,"sugar land, tx",302300,109,72.5,52,4,24,73,114.9064861,2585.5,346909,182,0.6697
202006,77801,"bryan, tx",189950,45,104,8,0,0,17,128.1949828,1590,251108,62,0.3778
202006,77422,"brazoria, tx",205550,51,98.5,8,0,4,24,132.2766416,1721.5,274154,75,0.4706
202006,77388,"spring, tx",250050,92,42.5,68,4,28,103,100.344182,2623.5,292981,195,1.1196
202006,77642,"port arthur, tx",186000,55,48.5,20,0,8,8,85.03503504,1998,206568,63,0.1455
202006,77536,"deer park, tx",246050,53,33.5,48,0,20,56,120.6015567,2058,272007,109,1.0566
202006,77070,"houston, tx",249550,78,51.5,48,8,20,96,103.8062284,2576,310006,174,1.2308
202006,77306,"conroe, tx",234724.5,24,55,8,4,0,19,126.5822785,1703,230044,43,0.7917
202006,77665,"winnie, tx",157500,17,43.5,8,0,8,9,101.342981,1892,213432,26,0.5294
202006,77303,"conroe, tx",298050,73,52.5,28,4,16,46,139.4665688,2121,290331,119,0.6301
202006,77627,"nederland, tx",239950,106,36.5,52,0,40,21,115.5371671,1960,241879,127,0.1981
202006,77377,"tomball, tx",335050,164,39.5,116,16,68,143,127.708802,2742,450722,307,0.872
