date,zip_code,permit_type,count,land_use
2017-03-13,77008,Unrestricted,1,Unrestricted
2017-03-13,77009,Commercial,1,Commercial
2017-03-13,77009,Residential,1,Single Family Residential (Public Street)
2017-03-13,77011,Commercial,1,Commercial
2017-03-13,77011,Other,1,General Plan
2017-03-13,77013,Commercial,1,Commercial
2017-03-13,77014,Residential,1,Compensating Open Space; Single Family Residential (Public Street)
2017-03-13,77016,Unrestricted,1,Unrestricted
2017-03-13,77016,Residential,1,Unrestricted; Single Family Residential (Public Street)
2017-03-13,77017,Unrestricted,1,Unrestricted
2017-03-13,77018,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-03-13,77018,Residential,1,Single Family Residential (Shared Driveways)
2017-03-13,77018,Commercial,1,Commercial
2017-03-13,77020,Unrestricted,1,Unrestricted
2017-03-13,77020,Residential,1,Single Family Residential (Shared Driveways)
2017-03-13,77022,Residential,1,Single Family Residential (Public Street)
2017-03-13,77022,Residential,1,Single Family Residential (Public Street)
2017-03-13,77026,Commercial,1,Commercial
2017-03-13,77027,Unrestricted,1,Unrestricted
2017-03-13,77028,Residential,1,Single Family Residential (Public Street)
2017-03-13,77029,Unrestricted,1,Unrestricted
2017-03-13,77030,Residential,1,Single Family Residential (Public Street)
2017-03-13,77032,Unrestricted,1,Unrestricted
2017-03-13,77033,Residential,1,Single Family Residential (Public Street)
2017-03-13,77038,Other,1,Landscape or Open Space
2017-03-13,77038,Unrestricted,1,Unrestricted
2017-03-13,77041,Unrestricted,1,Unrestricted
2017-03-13,77044,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-03-13,77044,Other,1,Street Dedication
2017-03-13,77048,Residential,1,Single Family Residential (Public Street)
2017-03-13,77049,Other,1,Drainage or Detention
2017-03-13,77049,Residential,1,Single Family Residential (Public Street)
2017-03-13,77051,Unrestricted,1,Unrestricted Intended for Multifamily
2017-03-13,77059,Other,1,Landscape or Open Space
2017-03-13,77059,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-03-13,77070,Commercial,1,Commercial
2017-03-13,77070,Residential,1,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street)
2017-03-13,77080,Other,1,Street Dedication
