Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-40,-44,-46,-48,-66
75075,"$50,000 under $75,000",2210,2747,4714,2305,91821,12168
75075,"$75,000 under $100,000",1780,3260,5605,3131,112342,15954
75075,"$100,000 under $200,000",3060,7756,12519,8868,330219,58198
75075,"$200,000 or more",680,2741,3465,7096,208648,48806
,,,,,,,
75076,,3460,3401,5272,3321,145441,25225
75076,"$1 under $25,000",1300,236,368,128,3244,306
75076,"$25,000 under $50,000",830,367,513,298,14978,1570
75076,"$50,000 under $75,000",490,495,870,426,19247,2419
75076,"$75,000 under $100,000",330,477,712,433,20374,2752
75076,"$100,000 under $200,000",410,1106,1868,1063,41893,7283
75076,"$200,000 or more",100,720,941,973,45705,10895
,,,,,,,
75077,,17090,42320,61743,39056,1228833,243222
75077,"$1 under $25,000",4920,1173,1485,555,13169,1151
75077,"$25,000 under $50,000",2800,2936,4542,1847,54900,5838
75077,"$50,000 under $75,000",2060,4011,6327,2677,82469,10530
75077,"$75,000 under $100,000",1880,5034,8101,3621,114640,15385
75077,"$100,000 under $200,000",3960,17066,26340,13694,416452,71504
75077,"$200,000 or more",1470,12100,14948,16662,547203,138814
,,,,,,,
75078,,6100,26586,40686,19563,599567,127608
75078,"$1 under $25,000",1400,459,446,169,3447,300
75078,"$25,000 under $50,000",760,883,1296,503,14100,1433
75078,"$50,000 under $75,000",540,1407,2013,848,20415,2495
75078,"$75,000 under $100,000",560,2205,3477,1249,31336,3942
75078,"$100,000 under $200,000",1790,10883,17609,7001,186294,31532
75078,"$200,000 or more",1050,10749,15845,9793,343975,87906
,,,,,,,
75080,,19880,28135,36735,34445,1031295,186475
75080,"$1 under $25,000",6520,1141,1368,621,15902,1351
75080,"$25,000 under $50,000",4470,2886,3873,2171,86582,9131
75080,"$50,000 under $75,000",2900,3971,5940,2940,121074,16185
75080,"$75,000 under $100,000",2000,3871,5371,3315,127803,18564
75080,"$100,000 under $200,000",3030,10002,13330,9510,323411,56588
75080,"$200,000 or more",960,6264,6853,15888,356523,84656
,,,,,,,
75081,,17280,15192,21765,18248,673422,112131
75081,"$1 under $25,000",6240,933,1277,653,15995,1353
75081,"$25,000 under $50,000",4180,2029,3122,1835,82697,8745
75081,"$50,000 under $75,000",2590,2873,4510,2643,108032,14421
75081,"$75,000 under $100,000",1700,2584,3992,2655,108208,15604
75081,"$100,000 under $200,000",2170,5071,7095,6739,228122,40130
75081,"$200,000 or more",400,1702,1769,3723,130368,31878
,,,,,,,
75082,,9800,25854,29722,25172,838427,171599
75082,"$1 under $25,000",2380,775,806,327,6321,563
75082,"$25,000 under $50,000",1490,1485,1755,902,30411,3338
75082,"$50,000 under $75,000",1140,1979,2557,1130,47319,6353
75082,"$75,000 under $100,000",1090,2876,3817,2138,67403,9492
75082,"$100,000 under $200,000",2530,11013,12807,8535,280374,49636
75082,"$200,000 or more",1170,7726,7980,12140,406599,102217
,,,,,,,
75087,,14170,31144,49131,30412,870532,155747
75087,"$1 under $25,000",3790,1059,1624,528,9342,838
75087,"$25,000 under $50,000",2420,2506,3747,1767,46776,4886
75087,"$50,000 under $75,000",1950,3918,6368,2774,76797,9333
