Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,date
75057.0,"$1 under $25,000",2768.0,141.0,272.0,104.0,6954.0,548.0,2011-04-01
75057.0,"$25,000 under $50,000",1923.0,313.0,599.0,386.0,35144.0,3630.0,2011-04-01
75057.0,"$50,000 under $75,000",671.0,369.0,823.0,445.0,27941.0,3752.0,2011-04-01
75057.0,"$75,000 under $100,000",304.0,326.0,663.0,406.0,19328.0,2851.0,2011-04-01
75057.0,"$100,000 under $200,000",269.0,541.0,1335.0,725.0,28355.0,5187.0,2011-04-01
75057.0,"$200,000 or more",38.0,199.0,0.0,289.0,12183.0,3151.0,2011-04-01
75058.0,"$1 under $25,000",455.0,85.0,0.0,56.0,1035.0,99.0,2011-04-01
75058.0,"$25,000 under $50,000",231.0,171.0,557.0,83.0,3723.0,365.0,2011-04-01
75058.0,"$50,000 under $75,000",160.0,216.0,425.0,133.0,6189.0,701.0,2011-04-01
75058.0,"$75,000 under $100,000",128.0,297.0,624.0,202.0,7575.0,929.0,2011-04-01
75058.0,"$100,000 under $200,000",202.0,858.0,1608.0,757.0,20273.0,3348.0,2011-04-01
75058.0,"$200,000 or more",47.0,367.0,477.0,419.0,13433.0,3414.0,2011-04-01
75060.0,"$1 under $25,000",9611.0,686.0,1523.0,435.0,21765.0,1627.0,2011-04-01
75060.0,"$25,000 under $50,000",6083.0,2140.0,4570.0,1676.0,98371.0,8684.0,2011-04-01
75060.0,"$50,000 under $75,000",2385.0,1987.0,3975.0,2098.0,92410.0,10915.0,2011-04-01
75060.0,"$75,000 under $100,000",1150.0,1679.0,3162.0,1826.0,70189.0,9472.0,2011-04-01
75060.0,"$100,000 under $200,000",839.0,1830.0,3024.0,2456.0,82425.0,13990.0,2011-04-01
75060.0,"$200,000 or more",67.0,264.0,356.0,582.0,18597.0,4565.0,2011-04-01
75061.0,"$1 under $25,000",12072.0,692.0,1244.0,572.0,28040.0,2038.0,2011-04-01
75061.0,"$25,000 under $50,000",6914.0,1631.0,3267.0,1837.0,110257.0,9490.0,2011-04-01
75061.0,"$50,000 under $75,000",2088.0,1737.0,3422.0,2030.0,81356.0,9885.0,2011-04-01
75061.0,"$75,000 under $100,000",875.0,1147.0,2081.0,1773.0,54366.0,7542.0,2011-04-01
75061.0,"$100,000 under $200,000",892.0,2094.0,3334.0,3647.0,91899.0,16222.0,2011-04-01
75061.0,"$200,000 or more",107.0,562.0,590.0,1016.0,38225.0,9883.0,2011-04-01
75062.0,"$1 under $25,000",10115.0,770.0,1363.0,559.0,26883.0,1992.0,2011-04-01
75062.0,"$25,000 under $50,000",6374.0,2114.0,4147.0,1954.0,115826.0,10951.0,2011-04-01
75062.0,"$50,000 under $75,000",2505.0,2086.0,4131.0,2073.0,101091.0,12749.0,2011-04-01
75062.0,"$75,000 under $100,000",1143.0,1495.0,2552.0,1975.0,70655.0,9866.0,2011-04-01
75062.0,"$100,000 under $200,000",1176.0,3540.0,5179.0,3989.0,123123.0,21833.0,2011-04-01
75062.0,"$200,000 or more",337.0,3292.0,2686.0,5188.0,210866.0,55201.0,2011-04-01
75063.0,"$1 under $25,000",4244.0,782.0,1081.0,340.0,14609.0,1188.0,2011-04-01
75063.0,"$25,000 under $50,000",4239.0,1768.0,2812.0,1326.0,95597.0,10401.0,2011-04-01
75063.0,"$50,000 under $75,000",2853.0,2909.0,4953.0,2203.0,124732.0,17652.0,2011-04-01
75063.0,"$75,000 under $100,000",1937.0,4466.0,6757.0,2456.0,122639.0,18009.0,2011-04-01
75063.0,"$100,000 under $200,000",3322.0,14474.0,21208.0,7350.0,362696.0,66236.0,2011-04-01
75063.0,"$200,000 or more",1183.0,9170.0,10959.0,9519.0,462778.0,123151.0,2011-04-01
75065.0,"$1 under $25,000",1767.0,387.0,544.0,186.0,5039.0,448.0,2011-04-01
75065.0,"$25,000 under $50,000",1197.0,930.0,1621.0,503.0,22615.0,2351.0,2011-04-01
75065.0,"$50,000 under $75,000",732.0,1268.0,2392.0,670.0,29097.0,3595.0,2011-04-01
75065.0,"$75,000 under $100,000",559.0,1331.0,2529.0,938.0,33985.0,4540.0,2011-04-01
75065.0,"$100,000 under $200,000",695.0,2706.0,4614.0,1856.0,70290.0,12154.0,2011-04-01
75065.0,"$200,000 or more",134.0,865.0,1399.0,965.0,39013.0,9433.0,2011-04-01
75067.0,"$1 under $25,000",12144.0,1064.0,2017.0,738.0,37164.0,2935.0,2011-04-01
75067.0,"$25,000 under $50,000",9239.0,3163.0,6683.0,2809.0,181418.0,18794.0,2011-04-01
75067.0,"$50,000 under $75,000",4104.0,4194.0,8882.0,3613.0,170540.0,22554.0,2011-04-01
75067.0,"$75,000 under $100,000",2272.0,3825.0,7876.0,3504.0,142873.0,20292.0,2011-04-01
75067.0,"$100,000 under $200,000",2437.0,6545.0,12601.0,7268.0,250033.0,43809.0,2011-04-01
75067.0,"$200,000 or more",290.0,1252.0,2093.0,1727.0,85443.0,22051.0,2011-04-01
75068.0,"$1 under $25,000",4837.0,1400.0,2210.0,462.0,11337.0,915.0,2011-04-01
75068.0,"$25,000 under $50,000",3877.0,4158.0,8175.0,2079.0,70900.0,6681.0,2011-04-01
75068.0,"$50,000 under $75,000",3165.0,6340.0,12955.0,3422.0,121822.0,14170.0,2011-04-01
75068.0,"$75,000 under $100,000",2278.0,5961.0,12462.0,3407.0,135497.0,16995.0,2011-04-01
75068.0,"$100,000 under $200,000",2549.0,9849.0,19711.0,6757.0,252867.0,42587.0,2011-04-01
75068.0,"$200,000 or more",304.0,2340.0,3774.0,2345.0,100231.0,23979.0,2011-04-01
75069.0,"$1 under $25,000",6961.0,1104.0,1439.0,544.0,15841.0,1329.0,2011-04-01
75069.0,"$25,000 under $50,000",3787.0,1896.0,2928.0,1350.0,63821.0,6235.0,2011-04-01
75069.0,"$50,000 under $75,000",1619.0,2602.0,4035.0,1873.0,64165.0,8163.0,2011-04-01
75069.0,"$75,000 under $100,000",964.0,2643.0,3996.0,1778.0,58694.0,8206.0,2011-04-01
75069.0,"$100,000 under $200,000",1609.0,7674.0,11593.0,6130.0,165122.0,28652.0,2011-04-01
75069.0,"$200,000 or more",786.0,8530.0,11031.0,10627.0,337848.0,88806.0,2011-04-01
75070.0,"$1 under $25,000",8664.0,2896.0,4278.0,1037.0,23117.0,1958.0,2011-04-01
75070.0,"$25,000 under $50,000",6001.0,7066.0,12176.0,3812.0,117719.0,11801.0,2011-04-01
75070.0,"$50,000 under $75,000",5165.0,11267.0,20906.0,6546.0,201812.0,24447.0,2011-04-01
75070.0,"$75,000 under $100,000",4780.0,14561.0,26793.0,8844.0,287146.0,38070.0,2011-04-01
75070.0,"$100,000 under $200,000",8437.0,38762.0,66840.0,27124.0,868045.0,149471.0,2011-04-01
75070.0,"$200,000 or more",2599.0,22417.0,33025.0,22699.0,875286.0,230953.0,2011-04-01
75071.0,"$1 under $25,000",4743.0,1408.0,2190.0,611.0,12410.0,1037.0,2011-04-01
